fight_link,date,location,method,round,time,time_format,referee,details,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,kd_1,kd_2,sig_str_1,sig_str_2,total_str_1,total_str_2
http://ufcstats.com/fight-details/297a3fe0edd6f1c5,"October 13, 2012","Rio de Janeiro, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,,Gleison Tibau,Francisco Trinaldo,,"""Massaranduba""",W,L,0,1,36 of 63,45 of 97,96 of 134,70 of 129
http://ufcstats.com/fight-details/5ab7629e07da22e6,"October 13, 2012","Rio de Janeiro, Brazil",Submission,3,3:10,3 Rnd (5-5-5),Mario Yamasaki,Rear Naked Choke,Sergio Moraes,Renee Forte,"""The Panther""",,W,L,0,0,16 of 45,26 of 76,27 of 58,38 of 88
http://ufcstats.com/fight-details/219610bc6e7d9196,"October 13, 2012","Rio de Janeiro, Brazil",Submission,1,2:30,3 Rnd (5-5-5),Mario Yamasaki,Rear Naked Choke,Demian Maia,Rick Story,,"""The Horror""",W,L,0,0,5 of 8,3 of 5,9 of 12,10 of 12
http://ufcstats.com/fight-details/dab5e3680cf6eac7,"October 13, 2012","Rio de Janeiro, Brazil",KO/TKO,2,4:16,3 Rnd (5-5-5),Fernando Yamasaki,Punch to Head At Distance,Rony Jason,Sam Sicilia,,,W,L,0,0,46 of 96,39 of 96,52 of 102,48 of 108
http://ufcstats.com/fight-details/034ce0af4dedbfd7,"October 13, 2012","Rio de Janeiro, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,,Jon Fitch,Erick Silva,,,W,L,0,0,82 of 131,19 of 33,176 of 234,24 of 38
http://ufcstats.com/fight-details/778d3f5c4bcc2927,"October 13, 2012","Rio de Janeiro, Brazil",TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),Mario Yamasaki,Stoppage Between Rounds,Glover Teixeira,Fabio Maldonado,,"""Caipira de Aco""",W,L,1,0,85 of 145,10 of 36,117 of 183,14 of 40
http://ufcstats.com/fight-details/3195350c98c9491d,"October 05, 2012","Minneapolis, Minnesota, USA",KO/TKO,2,1:06,3 Rnd (5-5-5),Josh Rosenthal,Punch to Head At Distance,Michael Johnson,Danny Castillo,"""The Menace""","""Last Call""",W,L,1,1,17 of 36,17 of 35,18 of 38,29 of 47
http://ufcstats.com/fight-details/4c9cb823fd7e3e2c,"October 13, 2012","Rio de Janeiro, Brazil",Submission,2,4:29,3 Rnd (5-5-5),Marc Goddard,Anaconda Choke On Ground,Phil Davis,Wagner Prado,"""Mr. Wonderful""","""Caldeirao""",W,L,0,0,29 of 49,2 of 11,59 of 82,2 of 11
http://ufcstats.com/fight-details/dba1add63d4bcbaa,"October 13, 2012","Rio de Janeiro, Brazil",Submission,2,4:31,3 Rnd (5-5-5),Mario Yamasaki,Armbar On Ground,Antonio Rodrigo Nogueira,Dave Herman,"""Minotauro""",,W,L,1,0,20 of 49,13 of 32,45 of 85,14 of 33
http://ufcstats.com/fight-details/dc5e46b2ee0898ec,"October 05, 2012","Minneapolis, Minnesota, USA",KO/TKO,2,4:35,3 Rnd (5-5-5),Darryl Guthmiller,Punch to Head At Distance,John Dodson,Jussier Formiga,"""The Magician""",,W,L,2,0,33 of 112,9 of 37,36 of 115,9 of 37
http://ufcstats.com/fight-details/526ab0f38313c630,"October 13, 2012","Rio de Janeiro, Brazil",KO/TKO,1,4:40,3 Rnd (5-5-5),Marc Goddard,Knee to Body At Distance,Anderson Silva,Stephan Bonnar,"""The Spider""","""The American Psycho""",W,L,1,0,19 of 27,12 of 43,27 of 35,28 of 59
http://ufcstats.com/fight-details/8802182074bf4a3a,"October 05, 2012","Minneapolis, Minnesota, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,,Jake Ellenberger,Jay Hieron,"""The Juggernaut""","""The Thoroughbred""",W,L,0,0,25 of 81,32 of 127,27 of 83,43 of 139
http://ufcstats.com/fight-details/b56d1822b9f9a35f,"October 05, 2012","Minneapolis, Minnesota, USA",Submission,1,0:45,3 Rnd (5-5-5),Nick Gamst,"Guillotine Choke Standing
      Technical Submission",Josh Neer,Justin Edwards,"""The Dentist""","""Fast Eddy""",L,W,0,0,0 of 0,6 of 7,0 of 0,7 of 8
http://ufcstats.com/fight-details/0cced3b02b6b1b95,"October 05, 2012","Minneapolis, Minnesota, USA",KO/TKO,1,3:27,5 Rnd (5-5-5-5-5),Herb Dean,Punch to Head At Distance,Travis Browne,Antonio Silva,"""Hapa""","""Bigfoot""",L,W,0,1,8 of 19,15 of 20,8 of 19,23 of 28
http://ufcstats.com/fight-details/e9ec16e4e7cfb120,"November 30, 2013","Las Vegas, Nevada, USA",Decision - Split,3,5:00,3 Rnd (5-5-5),Kim Winslow,,Rani Yahya,Tom Niinimaki,,"""Stoneface""",L,W,0,0,15 of 33,17 of 27,24 of 43,54 of 64
http://ufcstats.com/fight-details/b186f4778257ca6d,"November 30, 2013","Las Vegas, Nevada, USA",DQ,1,0:25,3 Rnd (5-5-5),Mario Yamasaki,Illegal Knee on Ground by Blanco,Akira Corassani,Maximo Blanco,,"""Maxi""",W,L,0,0,1 of 2,5 of 7,1 of 2,7 of 9
http://ufcstats.com/fight-details/c9ebbba18e4e1e84,"November 30, 2013","Las Vegas, Nevada, USA",Submission,2,4:31,3 Rnd (5-5-5),Chris Tognoni,Rear Naked Choke,Josh Sampo,Ryan Benoit,"""The Gremlin""","""Baby Face""",W,L,0,0,28 of 64,18 of 63,65 of 103,24 of 69
http://ufcstats.com/fight-details/64e1197b8d5d0706,"November 30, 2013","Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,,Sean Spencer,Drew Dober,"""Black Magic""",,W,L,0,0,105 of 270,61 of 226,109 of 274,67 of 236
http://ufcstats.com/fight-details/f7bd56e197bab2a6,"January 04, 2014","Singapore, Singapore",Submission,2,4:59,3 Rnd (5-5-5),John Sharp,"Triangle Choke From Bottom Guard
      Technical Submission",Leandro Issa,Russell Doane,"""Brodinho""",,L,W,0,0,17 of 54,43 of 86,18 of 55,83 of 130
http://ufcstats.com/fight-details/2b5058614b56a898,"November 30, 2013","Las Vegas, Nevada, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,Jared Rosholt,Walt Harris,,"""The Big Ticket""",W,L,0,2,33 of 105,18 of 71,73 of 150,19 of 72
http://ufcstats.com/fight-details/181429d8227794cb,"January 04, 2014","Singapore, Singapore",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,,Mairbek Taisumov,Tae Hyun Bang,"""Beckan""","""Supernatural""",W,L,0,0,33 of 87,26 of 66,48 of 107,31 of 71
http://ufcstats.com/fight-details/eb82e95ab678f8bc,"January 04, 2014","Singapore, Singapore",Submission,1,2:13,3 Rnd (5-5-5),Steve Perceval,Armbar From Bottom Guard,Dustin Kimura,Jon Delos Reyes,"""The Diamond""","""The Heat""",W,L,0,1,1 of 9,9 of 29,1 of 9,10 of 32
http://ufcstats.com/fight-details/4b69545737f1902a,"January 04, 2014","Singapore, Singapore",KO/TKO,2,2:27,3 Rnd (5-5-5),Leon Roberts,Punch to Head In Clinch,Max Holloway,Will Chope,"""Blessed""","""The Kill""",W,L,2,0,74 of 139,33 of 121,79 of 145,34 of 122
http://ufcstats.com/fight-details/e2bb4b8ce5ada2a8,"January 04, 2014","Singapore, Singapore",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John Sharp,Point Deducted: Illegal Kick by Galera,Royston Wee,Dave Galera,,"""Scarecrow""",W,L,0,0,8 of 12,25 of 36,84 of 104,89 of 109
http://ufcstats.com/fight-details/ab8722d48a5a447e,"January 04, 2014","Singapore, Singapore",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Perceval,,Katsunori Kikuno,Quinn Mulhern,,,W,L,0,0,23 of 48,16 of 63,73 of 104,24 of 71
http://ufcstats.com/fight-details/2ebe2ae9b4812f0a,"March 01, 2014","Macau, China",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,,Jumabieke Tuerxun,Mark Eddiva,"""The Wild Wolf""",,L,W,0,0,12 of 34,49 of 88,33 of 60,141 of 189
http://ufcstats.com/fight-details/57ab45aa1ebd087e,"March 01, 2014","Macau, China",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,Hatsu Hioki,Ivan Menjivar,,"""The Pride of El Salvador""",W,L,0,1,29 of 86,27 of 85,52 of 117,57 of 117
http://ufcstats.com/fight-details/3fa2e753afa0bdbb,"March 01, 2014","Macau, China",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,,Nam Phan,Vaughan Lee,,,L,W,0,0,24 of 189,142 of 311,24 of 190,145 of 314
