fight_link,date,location,method,round,time,time_format,referee,details,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,kd_1,kd_2,sig_str_1,sig_str_2,total_str_1,total_str_2,sig_str_landed_1,sig_str_attempted_1,total_str_landed_1,total_str_attempted_1,sig_str_landed_2,sig_str_attempted_2,total_str_landed_2,total_str_attempted_2,sig_str_accuracy_1,total_str_accuracy_1,sig_str_accuracy_2,total_str_accuracy_2,winner,fight_time_seconds,total_fight_time_seconds
http://ufcstats.com/fight-details/431e7931d8be8b5d,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Submission,3,4:46,3 Rnd + OT (5-5-5-5),Herb Dean,Rear Naked Choke,Glaico Franca Moreira,Fernando Bruno,"""Nego""","""Acougueiro""",W,L,0,0,23 of 31,20 of 32,47 of 57,41 of 53,23,31,47,57,20,32,41,53,0.7419354838709677,0.8245614035087719,0.625,0.7735849056603774,Glaico Franca Moreira,286,886
http://ufcstats.com/fight-details/480aca1906276700,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",Decision - Unanimous,3,5:00,3 Rnd + OT (5-5-5-5),Osiris Maia,,Reginaldo Vieira,Dileno Lopes,,,W,L,0,0,59 of 105,46 of 109,127 of 179,73 of 146,59,105,127,179,46,109,73,146,0.5619047619047619,0.7094972067039106,0.42201834862385323,0.5,Reginaldo Vieira,300,900
http://ufcstats.com/fight-details/60c62fb7bd17a8b3,2015-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil",KO/TKO,1,0:34,5 Rnd (5-5-5-5-5),John McCarthy,Punch to Head At Distance,Ronda Rousey,Bethe Correia,"""Rowdy""","""Pitbull""",W,L,1,0,19 of 32,9 of 14,19 of 32,9 of 14,19,32,19,32,9,14,9,14,0.59375,0.59375,0.6428571428571429,0.6428571428571429,Ronda Rousey,34,34
http://ufcstats.com/fight-details/d7c7b312279104d2,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",KO/TKO,3,4:03,3 Rnd (5-5-5),Marc Goddard,Punches to Head From Side Control,Augusto Sakai,Chase Sherman,,"""The Vanilla Gorilla""",W,L,0,0,111 of 218,79 of 178,125 of 233,84 of 183,111,218,125,233,79,178,84,183,0.5091743119266054,0.5364806866952789,0.4438202247191011,0.45901639344262296,Augusto Sakai,243,843
http://ufcstats.com/fight-details/b509c337d181c567,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Submission,2,4:42,3 Rnd (5-5-5),Jerin Valel,Arm Triangle From Mount,Sergio Moraes,Ben Saunders,"""The Panther""","""Killa B""",W,L,0,0,2 of 3,1 of 2,17 of 20,55 of 56,2,3,17,20,1,2,55,56,0.6666666666666666,0.85,0.5,0.9821428571428571,Sergio Moraes,282,582
http://ufcstats.com/fight-details/3d9398386c84109b,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",KO/TKO,2,4:10,3 Rnd (5-5-5),Marc Goddard,Knee to Body In Clinch,Francisco Trinaldo,Evan Dunham,"""Massaranduba""",,W,L,1,0,28 of 69,25 of 85,28 of 69,28 of 88,28,69,28,69,25,85,28,88,0.4057971014492754,0.4057971014492754,0.29411764705882354,0.3181818181818182,Francisco Trinaldo,250,550
http://ufcstats.com/fight-details/ba766bd03090dab9,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Submission,2,3:22,3 Rnd (5-5-5),Jerin Valel,Rear Naked Choke,Charles Oliveira,Christos Giagos,"""Do Bronxs""","""The Spartan""",W,L,0,0,28 of 60,18 of 80,28 of 60,20 of 82,28,60,28,60,18,80,20,82,0.4666666666666667,0.4666666666666667,0.225,0.24390243902439024,Charles Oliveira,202,502
http://ufcstats.com/fight-details/1669773acd404217,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",KO/TKO,2,1:00,3 Rnd (5-5-5),Marc Goddard,Punch to Head In Clinch,Sam Alvey,Rogerio Nogueira,"""Smile'N""","""Minotouro""",L,W,0,1,34 of 82,26 of 52,34 of 82,26 of 53,34,82,34,82,26,52,26,53,0.4146341463414634,0.4146341463414634,0.5,0.49056603773584906,Rogerio Nogueira,60,360
http://ufcstats.com/fight-details/f4187c30c311eb93,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Decision - Split,3,5:00,3 Rnd (5-5-5),Fernando Portella,,Renan Barao,Andre Ewell,"""The Baron""","""Mr. Highlight""",L,W,0,1,44 of 101,53 of 123,67 of 124,57 of 128,44,101,67,124,53,123,57,128,0.43564356435643564,0.5403225806451613,0.43089430894308944,0.4453125,Andre Ewell,300,900
http://ufcstats.com/fight-details/30eaf1650bc359b3,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Fernando Portella,,Luis Henrique,Ryan Spann,"""KLB""","""Superman""",L,W,0,0,30 of 59,46 of 97,48 of 78,50 of 101,30,59,48,78,46,97,50,101,0.5084745762711864,0.6153846153846154,0.4742268041237113,0.49504950495049505,Ryan Spann,300,900
http://ufcstats.com/fight-details/a409a5381f082e8f,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",KO/TKO,1,0:39,3 Rnd (5-5-5),Jerin Valel,Punch to Head In Clinch,Alex Oliveira,Carlo Pedersoli Jr.,"""Cowboy""","""Semento""",W,L,0,0,7 of 10,2 of 4,10 of 13,2 of 4,7,10,10,13,2,4,2,4,0.7,0.7692307692307693,0.5,0.5,Alex Oliveira,39,39
http://ufcstats.com/fight-details/fcc1191761e365f9,2023-06-24,"Jacksonville, Florida, USA",Decision - Split,3,5:00,3 Rnd (5-5-5),Andrew Glenn,,Jamall Emmers,Jack Jenkins,"""Pretty Boy""","""Phar""",L,W,0,0,57 of 155,59 of 119,76 of 185,85 of 154,57,155,76,185,59,119,85,154,0.36774193548387096,0.41081081081081083,0.4957983193277311,0.551948051948052,Jack Jenkins,300,900
http://ufcstats.com/fight-details/7b909acede0a26eb,2023-06-24,"Jacksonville, Florida, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,Cody Brundage,Sedriques Dumas,,"""The Reaper""",L,W,0,0,3 of 10,17 of 22,31 of 43,77 of 96,3,10,31,43,17,22,77,96,0.3,0.7209302325581395,0.7727272727272727,0.8020833333333334,Sedriques Dumas,300,900
http://ufcstats.com/fight-details/f18d44292036d5de,2023-06-24,"Jacksonville, Florida, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Larry Folsom,,Trevor Peek,Chepe Mariscal,,"""Machine Gun""",L,W,0,0,51 of 125,71 of 117,65 of 140,145 of 203,51,125,65,140,71,117,145,203,0.408,0.4642857142857143,0.6068376068376068,0.7142857142857143,Chepe Mariscal,300,900
http://ufcstats.com/fight-details/c22de92b9d9030dc,2023-06-24,"Jacksonville, Florida, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,,Tabatha Ricci,Gillian Robertson,"""Baby Shark""","""The Savage""",W,L,0,0,100 of 315,76 of 219,101 of 318,78 of 225,100,315,101,318,76,219,78,225,0.31746031746031744,0.31761006289308175,0.3470319634703196,0.3466666666666667,Tabatha Ricci,300,900
http://ufcstats.com/fight-details/7cdda45e7d52bf40,2018-09-22,"Sao Paulo, Sao Paulo, Brazil",KO/TKO,3,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,to,Thiago Santos,Eryk Anders,"""Marreta""","""Ya Boi""",W,L,0,0,100 of 152,32 of 67,115 of 167,34 of 69,100,152,115,167,32,67,34,69,0.6578947368421053,0.688622754491018,0.47761194029850745,0.4927536231884058,Thiago Santos,300,900
http://ufcstats.com/fight-details/42922bab8a3e1828,2023-06-24,"Jacksonville, Florida, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Andrew Glenn,,Randy Brown,Wellington Turman,"""Rudeboy""","""The Prodigy""",W,L,0,0,64 of 134,55 of 105,78 of 156,96 of 153,64,134,78,156,55,105,96,153,0.47761194029850745,0.5,0.5238095238095238,0.6274509803921569,Randy Brown,300,900
http://ufcstats.com/fight-details/c2cdeb207cce5ceb,2023-06-24,"Jacksonville, Florida, USA",Decision - Split,3,5:00,3 Rnd (5-5-5),Andrew Glenn,,Zhalgas Zhumagulov,Joshua Van,,"""The Fearless""",L,W,0,0,103 of 287,120 of 234,104 of 291,131 of 245,103,287,104,291,120,234,131,245,0.3588850174216028,0.35738831615120276,0.5128205128205128,0.5346938775510204,Joshua Van,300,900
