fight_link,date,location,method,round,time,time_format,referee,details,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,kd_1,kd_2,sig_str_1,sig_str_2,total_str_1,total_str_2,sig_str_landed_1,sig_str_attempted_1,total_str_landed_1,total_str_attempted_1,sig_str_landed_2,sig_str_attempted_2,total_str_landed_2,total_str_attempted_2,sig_str_accuracy_1,total_str_accuracy_1,sig_str_accuracy_2,total_str_accuracy_2,winner,fight_time_seconds,total_fight_time_seconds,outcome_category,fighter_1_won,fighter_2_won,sig_strike_diff,total_strike_diff,kd_1_jitter,kd_2_jitter,year,total_fight_time_minutes,country
http://ufcstats.com/fight-details/678eb77df5589eac,2013-12-06,"Brisbane, Queensland, Australia",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John Sharp,,Bruno Santos,Krzysztof Jotko,"""Carioca""",,L,W,0,0,12 of 24,17 of 46,31 of 45,84 of 120,12,24,31,45,17,46,84,120,0.5,0.6888888888888889,0.3695652173913043,0.7,Krzysztof Jotko,300,900,Decision,0,1,-5,-53,0.015593636424491943,-0.09169004652325657,2013,15.0,Australia
http://ufcstats.com/fight-details/3ff7d02ef633ee22,2014-01-04,"Singapore, Singapore",Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Leon Roberts,,Tarec Saffiedine,Hyun Gyu Lim,"""Sponge""","""The Ace""",W,L,3,0,120 of 202,122 of 277,166 of 248,126 of 282,120,202,166,248,122,277,126,282,0.594059405940594,0.6693548387096774,0.4404332129963899,0.4468085106382978,Tarec Saffiedine,300,1500,Decision,1,0,-2,40,2.979348642768402,0.05445729981263159,2014,25.0,Singapore
http://ufcstats.com/fight-details/b951f2d4080ef172,2013-12-06,"Brisbane, Queensland, Australia",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John Sharp,,Takeya Mizugaki,Nam Phan,,,W,L,0,0,152 of 402,100 of 287,155 of 405,104 of 291,152,402,155,405,100,287,104,291,0.3781094527363184,0.382716049382716,0.3484320557491289,0.3573883161512027,Takeya Mizugaki,300,900,Decision,1,0,52,51,-0.008741704417996444,-0.05602236255150988,2013,15.0,Australia
http://ufcstats.com/fight-details/e982a2648d69fda6,2013-12-06,"Brisbane, Queensland, Australia",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Cameron Quinn,,Nick Ring,Caio Magalhaes,"""The Promise""","""Hellboy""",L,W,0,0,30 of 64,32 of 63,65 of 104,103 of 143,30,64,65,104,32,63,103,143,0.46875,0.625,0.5079365079365079,0.7202797202797203,Caio Magalhaes,300,900,Decision,0,1,-2,-38,-0.03325790257270594,0.10030449540110581,2013,15.0,Australia
http://ufcstats.com/fight-details/e14b4f2c7b36d0b9,2013-12-06,"Brisbane, Queensland, Australia",KO/TKO,1,4:43,3 Rnd (5-5-5),Steve Perceval,Punches to Head From Back Control,Richie Vaculik,Justin Scoggins,"""Vas""",,L,W,0,0,2 of 7,27 of 37,19 of 24,47 of 59,2,7,19,24,27,37,47,59,0.2857142857142857,0.7916666666666666,0.7297297297297297,0.7966101694915254,Justin Scoggins,283,283,KO/TKO,0,1,-25,-28,-0.002383882436550566,0.09328904269483235,2013,4.716666666666667,Australia
http://ufcstats.com/fight-details/bfc321f0b0a7bf40,2013-12-06,"Brisbane, Queensland, Australia",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John Sharp,,Ryan Bader,Anthony Perosh,"""Darth""","""The Hippo""",W,L,0,0,70 of 100,9 of 37,156 of 188,11 of 39,70,100,156,188,9,37,11,39,0.7,0.8297872340425532,0.2432432432432432,0.282051282051282,Ryan Bader,300,900,Decision,1,0,61,145,0.019276996190607812,-0.015405887351072903,2013,15.0,Australia
http://ufcstats.com/fight-details/b568f3700aa2c1f7,2013-12-06,"Brisbane, Queensland, Australia",KO/TKO,1,1:03,3 Rnd (5-5-5),John Sharp,Punch to Head At Distance,Mauricio Rua,James Te Huna,"""Shogun""",,W,L,1,0,9 of 12,1 of 7,9 of 12,1 of 7,9,12,9,12,1,7,1,7,0.75,0.75,0.1428571428571428,0.1428571428571428,Mauricio Rua,63,63,KO/TKO,1,0,8,8,0.9912899174633775,-0.05558439686868691,2013,1.05,Australia
http://ufcstats.com/fight-details/39efb868dbe7e311,2013-12-06,"Brisbane, Queensland, Australia",Decision - Split,3,5:00,3 Rnd (5-5-5),Steve Perceval,,Julie Kedzie,Bethe Correia,,"""Pitbull""",L,W,0,0,54 of 186,65 of 118,81 of 214,84 of 138,54,186,81,214,65,118,84,138,0.2903225806451613,0.3785046728971962,0.5508474576271186,0.6086956521739131,Bethe Correia,300,900,Decision,0,1,-11,-3,0.04332986460425123,0.019284906721282385,2013,15.0,Australia
http://ufcstats.com/fight-details/adc1b34f6988bd68,2013-12-06,"Brisbane, Queensland, Australia",TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),Cameron Quinn,Shoulder Injury,Dylan Andrews,Clint Hester,"""The Villain""","""Headbussa""",L,W,0,0,13 of 31,27 of 58,18 of 36,44 of 75,13,31,18,36,27,58,44,75,0.4193548387096774,0.5,0.4655172413793103,0.5866666666666667,Clint Hester,300,600,KO/TKO,0,1,-14,-26,0.031556343336560745,0.02774228450057996,2013,10.0,Australia
http://ufcstats.com/fight-details/1143d37503a9527d,2014-01-15,"Duluth, Georgia, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),George Allen,,Vinc Pichel,Garett Whiteley,"""From Hell""","""Goodnight""",W,L,0,0,44 of 81,44 of 72,83 of 123,56 of 86,44,81,83,123,44,72,56,86,0.5432098765432098,0.6747967479674797,0.6111111111111112,0.6511627906976745,Vinc Pichel,300,900,Decision,1,0,0,27,-0.02170976031368531,-0.019127525285452848,2014,15.0,USA
http://ufcstats.com/fight-details/45e6eec6b35d7dfe,2013-12-06,"Brisbane, Queensland, Australia",KO/TKO,1,2:09,3 Rnd (5-5-5),Steve Perceval,Punches to Head From Mount,Pat Barry,Soa Palelei,"""HD""","""The Hulk""",L,W,0,0,1 of 3,12 of 14,1 of 3,31 of 33,1,3,1,3,12,14,31,33,0.3333333333333333,0.3333333333333333,0.8571428571428571,0.9393939393939394,Soa Palelei,129,129,KO/TKO,0,1,-11,-30,0.026237938875744993,0.06122740229790718,2013,2.15,Australia
http://ufcstats.com/fight-details/6f3e189c393c0e09,2014-01-15,"Duluth, Georgia, USA",Submission,1,1:45,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,Charlie Brenneman,Beneil Dariush,"""The Spaniard""",,L,W,0,1,5 of 9,9 of 21,7 of 11,9 of 21,5,9,7,11,9,21,9,21,0.5555555555555556,0.6363636363636364,0.4285714285714285,0.4285714285714285,Beneil Dariush,105,105,Submission,0,1,-4,-2,-0.023562359476012262,0.9624049006827639,2014,1.75,USA
http://ufcstats.com/fight-details/bbb810f50d60b31a,2014-01-15,"Duluth, Georgia, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),George Allen,,Ramsey Nijem,Justin Edwards,,"""Fast Eddy""",W,L,0,0,46 of 113,25 of 76,75 of 148,26 of 77,46,113,75,148,25,76,26,77,0.4070796460176991,0.5067567567567568,0.3289473684210526,0.3376623376623376,Ramsey Nijem,300,900,Decision,1,0,21,49,-0.07927994740207646,-0.012058965253449405,2014,15.0,USA
http://ufcstats.com/fight-details/fac335e6aeff29f5,2014-01-15,"Duluth, Georgia, USA",Submission,2,1:54,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,Cole Miller,Sam Sicilia,"""Magrinho""",,W,L,1,0,38 of 91,14 of 56,38 of 91,14 of 56,38,91,38,91,14,56,14,56,0.4175824175824176,0.4175824175824176,0.25,0.25,Cole Miller,114,414,Submission,1,0,24,24,1.02406724083277,-0.12265916213924594,2014,6.9,USA
http://ufcstats.com/fight-details/eea06604a47ea9a8,2014-01-15,"Duluth, Georgia, USA",Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,John Moraga,Dustin Ortiz,,,W,L,0,0,43 of 95,35 of 83,75 of 130,60 of 113,43,95,75,130,35,83,60,113,0.4526315789473684,0.5769230769230769,0.4216867469879518,0.5309734513274337,John Moraga,300,900,Decision,1,0,8,15,-0.0025736661970352064,0.08957313053021854,2014,15.0,USA
http://ufcstats.com/fight-details/94608c62dd497366,2014-01-15,"Duluth, Georgia, USA",Decision - Split,3,5:00,3 Rnd (5-5-5),Blake Grice,,Trevor Smith,Brian Houston,"""Hot Sauce""","""B-Hue""",W,L,0,0,57 of 122,30 of 83,61 of 126,34 of 87,57,122,61,126,30,83,34,87,0.4672131147540984,0.4841269841269841,0.3614457831325301,0.3908045977011494,Trevor Smith,300,900,Decision,1,0,27,27,-0.08289508899856753,-0.022790771132278412,2014,15.0,USA
http://ufcstats.com/fight-details/7e3609b672c7ecf9,2014-01-15,"Duluth, Georgia, USA",KO/TKO,3,3:23,3 Rnd (5-5-5),Blake Grice,Elbows to Body On Ground,Yoel Romero,Derek Brunson,"""Soldier of God""","""The One""",W,L,0,0,60 of 94,38 of 94,87 of 122,56 of 112,60,94,87,122,38,94,56,112,0.6382978723404256,0.7131147540983607,0.4042553191489361,0.5,Yoel Romero,203,803,KO/TKO,1,0,22,31,0.05241579047048726,-0.005170228665097454,2014,13.383333333333333,USA
